"image_data","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
37,1,0,0.12556,0.11806,0
34.826,1,1,0.12556,0.11806,0
33.452,1,2,0.12556,0.11806,0
35.406,1,3,0.12556,0.11806,0
29.819,1,4,0.12556,0.11806,0
33.411,1,5,0.12556,0.11806,0
31.883,1,6,0.12556,0.11806,0
35.005,1,7,0.12556,0.11806,0
32.859,1,8,0.12556,0.11806,0
29.957,1,9,0.12556,0.11806,0
34.357,1,10,0.12556,0.11806,0
34.736,1,11,0.12556,0.11806,0
34.019,1,12,0.12556,0.11806,0
33.386,1,13,0.12556,0.11806,0
35.333,1,14,0.12556,0.11806,0
35.24,1,15,0.12556,0.11806,0
36.533,1,16,0.12556,0.11806,0
32.149,1,17,0.12556,0.11806,0
31.165,1,18,0.12556,0.11806,0
35.071,1,19,0.12556,0.11806,0
35.696,1,20,0.12556,0.11806,0
38.672,1,21,0.12556,0.11806,0
36.412,1,22,0.12556,0.11806,0
31.936,1,23,0.12556,0.11806,0
32.914,1,24,0.12556,0.11806,0
38.469,1,25,0.12556,0.11806,0
33.175,1,26,0.12556,0.11806,0
37.593,1,27,0.12556,0.11806,0
32.601,1,28,0.12556,0.11806,0
34.518,1,29,0.12556,0.11806,0
35.916,1,30,0.12556,0.11806,0
42.569,1,31,0.12556,0.11806,0
41.831,1,32,0.12556,0.11806,0
41.723,1,33,0.12556,0.11806,0
48.265,1,34,0.12556,0.11806,0
46.128,1,35,0.12556,0.11806,0
38.743,1,36,0.12556,0.11806,0
38.382,1,37,0.12556,0.11806,0
40.023,1,38,0.12556,0.11806,0
37.238,1,39,0.12556,0.11806,0
35.719,1,40,0.12556,0.11806,0
34.876,1,41,0.12556,0.11806,0
37.301,1,42,0.12556,0.11806,0
37.857,1,43,0.12556,0.11806,0
31.313,1,44,0.12556,0.11806,0
35.713,1,45,0.12556,0.11806,0
32.909,1,46,0.12556,0.11806,0
37.338,1,47,0.12556,0.11806,0
35.262,1,48,0.12556,0.11806,0
36.819,1,49,0.12556,0.11806,0
33.968,1,50,0.12556,0.11806,0
35.143,1,51,0.12556,0.11806,0
34.705,1,52,0.12556,0.11806,0
37.571,1,53,0.12556,0.11806,0
34.006,1,54,0.12556,0.11806,0
33.898,1,55,0.12556,0.11806,0
43.988,1,56,0.12556,0.11806,0
64.323,1,57,0.12556,0.11806,0
63.19,1,58,0.12556,0.11806,0
81.155,1,59,0.12556,0.11806,0
83.296,1,60,0.12556,0.11806,0
61.737,1,61,0.12556,0.11806,0
49.498,1,62,0.12556,0.11806,0
48.822,1,63,0.12556,0.11806,0
48.841,1,64,0.12556,0.11806,0
45.732,1,65,0.12556,0.11806,0
42.797,1,66,0.12556,0.11806,0
45.805,1,67,0.12556,0.11806,0
41.39,1,68,0.12556,0.11806,0
40.631,1,69,0.12556,0.11806,0
38.504,1,70,0.12556,0.11806,0
35.107,1,71,0.12556,0.11806,0
41.755,1,72,0.12556,0.11806,0
40.142,1,73,0.12556,0.11806,0
40.741,1,74,0.12556,0.11806,0
